"resource_uri","id","pacer_rss_entry_types","fjc_court_id","date_modified","in_use","has_opinion_scraper","has_oral_argument_scraper","position","citation_string","short_name","full_name","url","start_date","jurisdiction","pacer_court_id","end_date","pacer_has_rss_feed"
"https://www.courtlistener.com/api/rest/v3/courts/nebraskab/","nebraskab","all","67","2020-07-27T23:10:05.144786-07:00",TRUE,FALSE,FALSE,189.61,"Bankr. D. Neb.","D. Nebraska","United States Bankruptcy Court, D. Nebraska","http://www.neb.uscourts.gov/",NA,"FB",112,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/nvb/","nvb","all","78","2020-07-27T23:15:12.460999-07:00",TRUE,FALSE,FALSE,189.65,"Bankr. D. Nev.","D. Nevada","United States Bankruptcy Court, D. Nevada","http://www.nvb.uscourts.gov/",NA,"FB",114,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/nhb/","nhb","answer,appeal,court,motion,order,auditor,caseupld,claims,cmp,crbatch,crmisc,misc,notice,plan,trustee","02","2020-07-27T23:14:09.375128-07:00",TRUE,FALSE,FALSE,189.7,"Bankr. D.N.H.","D. New Hampshire","United States Bankruptcy Court, D. New Hampshire","http://www.nhb.uscourts.gov/",NA,"FB",116,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/njb/","njb","answer,appeal,court,motion,order,misc,plan","12","2022-01-25T08:04:50.924233-08:00",TRUE,FALSE,FALSE,189.8,"Bankr. D.N.J.","D. New Jersey","United States Bankruptcy Court, D. New Jersey","http://www.njb.uscourts.gov/",NA,"FB",118,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/nmb/","nmb","all","84","2020-07-27T23:15:10.467594-07:00",TRUE,FALSE,FALSE,189.9,"Bankr. D.N.M.","D. New Mexico","United States Bankruptcy Court, D. New Mexico","http://www.nmb.uscourts.gov/",NA,"FB",120,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/nyeb/","nyeb","all","07","2020-08-28T21:58:27.010119-07:00",TRUE,FALSE,FALSE,190,"Bankr. E.D.N.Y.","E.D. New York","United States Bankruptcy Court, E.D. New York","http://www.nyeb.uscourts.gov/",NA,"FB",122,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/nynb/","nynb","all","06","2020-07-27T23:12:08.537560-07:00",TRUE,FALSE,FALSE,190.05,"Bankr. N.D.N.Y.","N.D. New York","United States Bankruptcy Court, N.D. New York","http://www.nynb.uscourts.gov/",NA,"FB",124,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/nysb/","nysb","all","08","2020-07-27T23:13:10.948292-07:00",TRUE,FALSE,FALSE,190.1,"Bankr. S.D.N.Y.","S.D. New York","United States Bankruptcy Court, S.D. New York","http://www.nysb.uscourts.gov/",NA,"FB",126,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/nywb/","nywb","answer,appeal,court,motion,order,misc,cmp","09","2020-07-27T23:14:09.747864-07:00",TRUE,FALSE,FALSE,190.2,"Bankr. W.D.N.Y.","W.D. New York","United States Bankruptcy Court, W.D. New York","http://www.nywb.uscourts.gov/",NA,"FB",128,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/nceb/","nceb","","17","2013-08-15T09:17:48-07:00",TRUE,FALSE,FALSE,190.3,"Bankr. E.D.N.C.","E.D. North Carolina","United States Bankruptcy Court, E.D. North Carolina","https://ecf.nceb.uscourts.gov/",NA,"FB",130,NA,FALSE
"https://www.courtlistener.com/api/rest/v3/courts/ncmb/","ncmb","all","18","2020-07-27T23:14:10.723974-07:00",TRUE,FALSE,FALSE,190.4,"Bankr. M.D.N.C.","M.D. North Carolina","United States Bankruptcy Court, M.D. North Carolina","http://www.ncmb.uscourts.gov/",NA,"FB",132,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/ncwb/","ncwb","answer,appeal,court,motion,order","19","2020-07-27T23:14:09.662261-07:00",TRUE,FALSE,FALSE,190.45,"Bankr. W.D.N.C.","W.D. North Carolina","United States Bankruptcy Court, W.D. North Carolina","http://www.ncwb.uscourts.gov/",NA,"FB",134,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/ndb/","ndb","all","68","2020-07-27T23:12:06.737752-07:00",TRUE,FALSE,FALSE,190.5,"Bankr. D.N.D.","D. North Dakota","United States Bankruptcy Court, D. North Dakota","http://www.ndd.uscourts.gov/",NA,"FB",136,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/ohnb/","ohnb","all","47","2020-07-27T23:14:17.002950-07:00",TRUE,FALSE,FALSE,190.6,"Bankr. N.D. Ohio","N.D. Ohio","United States Bankruptcy Court, N.D. Ohio","http://www.ohnb.uscourts.gov/",NA,"FB",140,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/ohsb/","ohsb","all","48","2020-07-27T23:14:15.199795-07:00",TRUE,FALSE,FALSE,190.7,"Bankr. S.D. Ohio","S.D. Ohio","United States Bankruptcy Court, S.D. Ohio","http://www.ohsb.uscourts.gov/",NA,"FB",142,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/okeb/","okeb","answer,appeal,court,motion,order,trustee","86","2021-04-30T07:04:02.188860-07:00",TRUE,FALSE,FALSE,191,"Bankr. E.D. Okla.","E.D. Oklahoma","United States Bankruptcy Court, E.D. Oklahoma","http://www.okeb.uscourts.gov/",NA,"FB",144,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/oknb/","oknb","answer,appeal,court,motion,order,misc","85","2020-07-27T23:15:10.551167-07:00",TRUE,FALSE,FALSE,192.2,"Bankr. N.D. Okla","N.D. Oklahoma","United States Bankruptcy Court, N.D. Oklahoma","http://www.oknb.uscourts.gov/",NA,"FB",146,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/okwb/","okwb","answer,appeal,court,motion,order,trustee","87","2020-07-27T23:15:10.843603-07:00",TRUE,FALSE,FALSE,192.3,"Bankr. W.D. Okla.","W.D. Oklahoma","United States Bankruptcy Court, W.D. Oklahoma","http://www.okwb.uscourts.gov/",NA,"FB",148,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/orb/","orb","answer,appeal,court,motion,order,trustee,notice","79","2020-07-27T23:15:10.915916-07:00",TRUE,FALSE,FALSE,193.7,"Bankr. D. Or.","D. Oregon","United States Bankruptcy Court, D. Oregon","http://www.orb.uscourts.gov/",NA,"FB",150,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/paeb/","paeb","all","13","2020-07-27T23:14:11.814114-07:00",TRUE,FALSE,FALSE,193.8,"Bankr. E.D. Pa.","E.D. Pennsylvania","United States Bankruptcy Court, E.D. Pennsylvania","http://www.paeb.uscourts.gov/",NA,"FB",152,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/pamb/","pamb","all","14","2020-07-27T23:15:11.679857-07:00",TRUE,FALSE,FALSE,193.9,"Bankr. M.D. Penn.","M.D. Pennsylvania","United States Bankruptcy Court, M.D. Pennsylvania","http://www.pamb.uscourts.gov/",NA,"FB",154,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/pawb/","pawb","all","15","2020-07-27T23:11:09.597654-07:00",TRUE,FALSE,FALSE,194,"Bankr. W.D. Pa.","W.D. Pennsylvania","United States Bankruptcy Court, W.D. Pennsylvania","http://www.pawb.uscourts.gov/",NA,"FB",156,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/rib/","rib","all","03","2020-07-27T23:14:09.678973-07:00",TRUE,FALSE,FALSE,194.2,"Bankr. D.R.I.","D. Rhode Island","United States Bankruptcy Court, D. Rhode Island","http://www.rib.uscourts.gov/",NA,"FB",160,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/scb/","scb","all","20","2020-07-27T23:13:10.237930-07:00",TRUE,FALSE,FALSE,194.8,"Bankr. D.S.C.","D. South Carolina","United States Bankruptcy Court, D. South Carolina","http://www.scb.uscourts.gov/",NA,"FB",162,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/sdb/","sdb","all","69","2020-07-27T23:15:10.580970-07:00",TRUE,FALSE,FALSE,194.85,"Bankr. D.S.D.","D. South Dakota","United States Bankruptcy Court, D. South Dakota","https://ecf.sdb.uscourts.gov/",NA,"FB",164,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/tneb/","tneb","all","49","2020-07-27T23:10:08.100519-07:00",TRUE,FALSE,FALSE,195,"Bankr. E.D. Tenn.","E.D. Tennessee","United States Bankruptcy Court, E.D. Tennessee","http://www.tneb.uscourts.gov/",NA,"FB",166,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/tnmb/","tnmb","all","50","2020-07-27T23:17:16.955590-07:00",TRUE,FALSE,FALSE,195.1,"Bankr. M.D. Tenn.","M.D. Tennessee","United States Bankruptcy Court, M.D. Tennessee","http://www.tnmb.uscourts.gov/",NA,"FB",168,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/tnwb/","tnwb","all","51","2020-07-27T23:11:09.943723-07:00",TRUE,FALSE,FALSE,195.2,"Bankr. W.D. Tenn.","W.D. Tennessee","United States Bankruptcy Court, W.D. Tennessee","http://www.tnwb.uscourts.gov/",NA,"FB",170,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/tennesseeb/","tennesseeb","","","2017-03-07T13:33:02.155732-08:00",TRUE,FALSE,FALSE,195.3,"Bankr. D. Tenn.","D. Tennessee","United States Bankruptcy Court, D. Tennessee","http://www.fjc.gov/history/home.nsf/page/courts_district_tn_mp.html","1797-01-01","FB",NA,"1801-01-01",NA
"https://www.courtlistener.com/api/rest/v3/courts/txeb/","txeb","answer,appeal,auditor,caseupld,claims,cmp,court,misc,motion,notice,order,plan,trustee","40","2020-07-27T23:15:11.955717-07:00",TRUE,FALSE,FALSE,196,"Bankr. E.D. Tex.","E.D. Texas","United States Bankruptcy Court, E.D. Texas","http://www.txeb.uscourts.gov/",NA,"FB",174,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/txnb/","txnb","all","39","2020-07-27T23:15:16.789647-07:00",TRUE,FALSE,FALSE,196.2,"Bankr. N.D. Tex.","N.D. Texas","United States Bankruptcy Court, N.D. Texas","http://www.txnb.uscourts.gov/",NA,"FB",176,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/txsb/","txsb","all","41","2020-07-27T23:15:16.904230-07:00",TRUE,FALSE,FALSE,196.25,"Bankr. S.D. Tex.","S.D. Texas","United States Bankruptcy Court, S.D. Texas","http://www.txs.uscourts.gov/bankruptcy/",NA,"FB",178,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/txwb/","txwb","all","42","2020-07-27T23:14:11.316749-07:00",TRUE,FALSE,FALSE,196.3,"Bankr. W.D. Tex.","W.D. Texas","United States Bankruptcy Court, W.D. Texas","http://www.txwb.uscourts.gov/",NA,"FB",180,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/utb/","utb","all","88","2020-07-27T23:11:11.193371-07:00",TRUE,FALSE,FALSE,196.34,"Bankr. D. Utah","D. Utah","United States Bankruptcy Court, D. Utah","http://www.utb.uscourts.gov/",NA,"FB",182,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/vtb/","vtb","all","10","2020-07-27T23:13:08.099151-07:00",TRUE,FALSE,FALSE,196.35,"Bankr. D. Vt.","D. Vermont","United States Bankruptcy Court, D. Vermont","http://www.vtb.uscourts.gov/",NA,"FB",184,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/vaeb/","vaeb","all","22","2020-07-27T23:14:16.969116-07:00",TRUE,FALSE,FALSE,196.4,"Bankr. E.D. Va.","E.D. Virginia","United States Bankruptcy Court, E.D. Virginia","https://www.vaeb.uscourts.gov/",NA,"FB",188,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/vawb/","vawb","answer,appeal,court,motion,order","23","2020-07-27T23:14:09.761502-07:00",TRUE,FALSE,FALSE,197,"Bankr. W.D. Va.","W.D. Virginia","United States Bankruptcy Court, W.D. Virginia","http://www.vawb.uscourts.gov/",NA,"FB",190,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/waeb/","waeb","all","80","2020-07-27T23:09:04.043178-07:00",TRUE,FALSE,FALSE,197.5,"Bankr. E.D. Wash.","E.D. Washington","United States Bankruptcy Court, E.D. Washington","http://www.waeb.uscourts.gov/",NA,"FB",194,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/wawb/","wawb","all","81","2020-07-27T23:15:12.693157-07:00",TRUE,FALSE,FALSE,198,"Bankr. W.D. Wash.","W.D. Washington","United States Bankruptcy Court, W.D. Washington","http://www.wawb.uscourts.gov/",NA,"FB",196,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/wvnb/","wvnb","all","24","2020-07-27T23:14:09.357425-07:00",TRUE,FALSE,FALSE,198.8,"Bankr. N.D.W. Va.","N.D. West Virginia","United States Bankruptcy Court, N.D. West Virginia","http://www.wvnd.uscourts.gov/",NA,"FB",198,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/wvsb/","wvsb","all","25","2020-07-27T23:09:04.059643-07:00",TRUE,FALSE,FALSE,198.9,"Bankr. S.D.W. Va.","S.D. West Virginia","United States Bankruptcy Court, S.D. West Virginia","http://www.wvsb.uscourts.gov/",NA,"FB",200,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/wieb/","wieb","answer,appeal,court,misc,motion,order,trustee","57","2020-07-27T23:15:14.675732-07:00",TRUE,FALSE,FALSE,199,"Bankr. E.D. Wis.","E.D. Wisconsin","United States Bankruptcy Court, E.D. Wisconsin","http://www.wieb.uscourts.gov/",NA,"FB",202,NA,TRUE
